INCOMING_LINE,INCOMING_REMOTE_OP,INCOMING,INCOMING_DIRECTION,UOPID,OP_Name,OUTGOING,OUTGOING_DIRECTION,OUTGOING_LINE,OUTGOING_REMOTE_OP,Connected
Ut-Htba,NLBLOA,BM,O,NLBHV,Bilthoven,AC,N,Ut-Htba,NLDLD,NO
Ut-Htba,NLBLOA,BM,O,NLBHV,Bilthoven,BE,O,Ut-Htba,NLDLD,YES
Ut-Htba,NLBLOA,BM,O,NLBHV,Bilthoven,CC,B,Ut-Htba,NLDLD,YES
Ut-Htba,NLBLOA,BY,N,NLBHV,Bilthoven,AC,N,Ut-Htba,NLDLD,YES
Ut-Htba,NLBLOA,BY,N,NLBHV,Bilthoven,BE,O,Ut-Htba,NLDLD,NO
Ut-Htba,NLBLOA,BY,N,NLBHV,Bilthoven,CC,B,Ut-Htba,NLDLD,YES
Asa-Zvg,NLAC,AC1,O,NLBKLA,Breukelen aansl.,UR4,N,Asa-Zvg,NLMAS,NO
Asa-Zvg,NLAC,AC1,O,NLBKLA,Breukelen aansl.,UD4,N,Asa-Zvg,NLMAS,NO
Asa-Zvg,NLAC,AC1,O,NLBKLA,Breukelen aansl.,AR1,O,Asa-Zvg,NLMAS,YES
Asa-Zvg,NLAC,AC1,O,NLBKLA,Breukelen aansl.,AD1,O,Asa-Zvg,NLMAS,YES
Asa-Zvg,NLAC,AC1,O,NLBKLA,Breukelen aansl.,BN,N,Bkl-Hmla,NLHMLA,YES
Asa-Zvg,NLAC,AC1,O,NLBKLA,Breukelen aansl.,BA,O,Bkl-Hmla,NLHMLA,YES
Asa-Zvg,NLAC,AP1,O,NLBKLA,Breukelen aansl.,UR4,N,Asa-Zvg,NLMAS,NO
Asa-Zvg,NLAC,AP1,O,NLBKLA,Breukelen aansl.,UD4,N,Asa-Zvg,NLMAS,NO
Asa-Zvg,NLAC,AP1,O,NLBKLA,Breukelen aansl.,AR1,O,Asa-Zvg,NLMAS,YES
Asa-Zvg,NLAC,AP1,O,NLBKLA,Breukelen aansl.,AD1,O,Asa-Zvg,NLMAS,YES
Asa-Zvg,NLAC,AP1,O,NLBKLA,Breukelen aansl.,BN,N,Bkl-Hmla,NLHMLA,YES
